name,division,record,url,height,weight,reach,stance,dob,hometown,team,scraped_at
Joaquin Buckley,Welterweight Division21-7-0 (W-L-D),21-7-0,https://www.ufc.com/athlete/joaquin-buckley,,,,,,,,2025-07-14T01:40:00.270685
Colby Covington,Welterweight Division17-5-0 (W-L-D),17-5-0,https://www.ufc.com/athlete/colby-covington,,,,,,,,2025-07-14T01:40:01.348120
Gilbert Burns,Welterweight Division22-9-0 (W-L-D),22-9-0,https://www.ufc.com/athlete/gilbert-burns,,,,,,,,2025-07-14T01:40:02.433257
Geoff Neal,Welterweight Division16-6-0 (W-L-D),16-6-0,https://www.ufc.com/athlete/geoff-neal,,,,,,,,2025-07-14T01:40:03.496672
Stephen Thompson,Welterweight Division17-9-1 (W-L-D),17-9-1,https://www.ufc.com/athlete/stephen-thompson,,,,,,,,2025-07-14T01:40:04.560502
Carlos Prates,Welterweight Division21-7-0 (W-L-D),21-7-0,https://www.ufc.com/athlete/carlos-prates,,,,,,,,2025-07-14T01:40:05.640839
Kevin Holland,Welterweight Division28-13-0 (W-L-D),28-13-0,https://www.ufc.com/athlete/kevin-holland,,,,,,,,2025-07-14T01:40:06.709430
Michael Page,Welterweight Division23-3-0 (W-L-D),23-3-0,https://www.ufc.com/athlete/michael-page,,,,,,,,2025-07-14T01:40:07.778843
Nassourdine Imavov,Middleweight Division16-4-0 (W-L-D),16-4-0,https://www.ufc.com/athlete/nassourdine-imavov,,,,,,,,2025-07-14T01:40:08.843809
Sean Strickland,Middleweight Division29-7-0 (W-L-D),29-7-0,https://www.ufc.com/athlete/sean-strickland,,,,,,,,2025-07-14T01:40:09.916560
Khamzat Chimaev,Middleweight Division14-0-0 (W-L-D),14-0-0,https://www.ufc.com/athlete/khamzat-chimaev,,,,,,,,2025-07-14T01:40:11.043714
Israel Adesanya,Middleweight Division24-5-0 (W-L-D),24-5-0,https://www.ufc.com/athlete/israel-adesanya,,,,,,,,2025-07-14T01:40:12.161500
Robert Whittaker,Middleweight Division27-8-0 (W-L-D),27-8-0,https://www.ufc.com/athlete/robert-whittaker,,,,,,,,2025-07-14T01:40:13.276255
Caio Borralho,Middleweight Division17-1-0 (W-L-D),17-1-0,https://www.ufc.com/athlete/caio-borralho,,,,,,,,2025-07-14T01:40:14.370348
Jared Cannonier,Middleweight Division18-8-0 (W-L-D),18-8-0,https://www.ufc.com/athlete/jared-cannonier,,,,,,,,2025-07-14T01:40:15.431478
Roman Dolidze,Middleweight Division15-3-0 (W-L-D),15-3-0,https://www.ufc.com/athlete/roman-dolidze,,,,,,,,2025-07-14T01:40:16.497420
Anthony Hernandez,Middleweight Division14-2-0 (W-L-D),14-2-0,https://www.ufc.com/athlete/anthony-hernandez,,,,,,,,2025-07-14T01:40:17.610728
Marvin Vettori,Middleweight Division19-8-1 (W-L-D),19-8-1,https://www.ufc.com/athlete/marvin-vettori,,,,,,,,2025-07-14T01:40:18.738740
Brendan Allen,Middleweight Division24-7-0 (W-L-D),24-7-0,https://www.ufc.com/athlete/brendan-allen,,,,,,,,2025-07-14T01:40:19.856131
Reinier de Ridder,Middleweight Division20-2-0 (W-L-D),20-2-0,https://www.ufc.com/athlete/reinier-de-ridder,,,,,,,,2025-07-14T01:40:20.963135
