rank,name,division,url,scraped_at,is_champion
12,Paulo Costa,Middleweight,https://www.ufc.com/athlete/paulo-costa,2025-07-23T14:40:12.060234,False
13,Marvin Vettori,Middleweight,https://www.ufc.com/athlete/marvin-vettori,2025-07-23T14:40:12.060253,False
14,Reinier de Ridder,Middleweight,https://www.ufc.com/athlete/reinier-de-ridder,2025-07-23T14:40:12.060270,False
15,Abus Magomedov,Middleweight,https://www.ufc.com/athlete/abus-magomedov,2025-07-23T14:40:12.060289,False
16,Roman Kopylov,Middleweight,https://www.ufc.com/athlete/roman-kopylov,2025-07-23T14:40:12.060307,False
1,Magomed Ankalaev,Light Heavyweight,https://www.ufc.com/athlete/magomed-ankalaev,2025-07-23T14:40:12.061158,True
2,Alex Pereira,Light Heavyweight,https://www.ufc.com/athlete/alex-pereira,2025-07-23T14:40:12.061190,False
3,Jiří Procházka,Light Heavyweight,https://www.ufc.com/athlete/jiri-prochazka,2025-07-23T14:40:12.061213,False
4,Carlos Ulberg,Light Heavyweight,https://www.ufc.com/athlete/carlos-ulberg,2025-07-23T14:40:12.061233,False
5,Khalil Rountree Jr.,Light Heavyweight,https://www.ufc.com/athlete/khalil-rountree-jr,2025-07-23T14:40:12.061254,False
6,Jan Błachowicz,Light Heavyweight,https://www.ufc.com/athlete/jan-blachowicz,2025-07-23T14:40:12.061284,False
7,Jamahal Hill,Light Heavyweight,https://www.ufc.com/athlete/jamahal-hill,2025-07-23T14:40:12.061302,False
8,Aleksandar Rakić,Light Heavyweight,https://www.ufc.com/athlete/aleksandar-rakic,2025-07-23T14:40:12.061323,False
9,Dominick Reyes,Light Heavyweight,https://www.ufc.com/athlete/dominick-reyes,2025-07-23T14:40:12.061341,False
10,Volkan Oezdemir,Light Heavyweight,https://www.ufc.com/athlete/volkan-oezdemir,2025-07-23T14:40:12.061358,False
11,Nikita Krylov,Light Heavyweight,https://www.ufc.com/athlete/nikita-krylov,2025-07-23T14:40:12.061376,False
12,Azamat Murzakanov,Light Heavyweight,https://www.ufc.com/athlete/azamat-murzakanov,2025-07-23T14:40:12.061394,False
13,Johnny Walker,Light Heavyweight,https://www.ufc.com/athlete/johnny-walker,2025-07-23T14:40:12.061412,False
14,Bogdan Guskov,Light Heavyweight,https://www.ufc.com/athlete/bogdan-guskov,2025-07-23T14:40:12.061429,False
15,Zhang Mingyang,Light Heavyweight,https://www.ufc.com/athlete/zhang-mingyang,2025-07-23T14:40:12.061447,False
16,Alonzo Menifield,Light Heavyweight,https://www.ufc.com/athlete/alonzo-menifield,2025-07-23T14:40:12.061464,False
1,Tom Aspinall,Heavyweight,https://www.ufc.com/athlete/tom-aspinall,2025-07-23T14:40:12.062309,True
2,Ciryl Gane,Heavyweight,https://www.ufc.com/athlete/ciryl-gane,2025-07-23T14:40:12.062338,False
3,Alexander Volkov,Heavyweight,https://www.ufc.com/athlete/alexander-volkov,2025-07-23T14:40:12.062360,False
4,Sergei Pavlovich,Heavyweight,https://www.ufc.com/athlete/sergei-pavlovich,2025-07-23T14:40:12.062379,False
5,Curtis Blaydes,Heavyweight,https://www.ufc.com/athlete/curtis-blaydes,2025-07-23T14:40:12.062399,False
6,Jailton Almeida,Heavyweight,https://www.ufc.com/athlete/jailton-almeida,2025-07-23T14:40:12.062625,False
7,Waldo Cortes Acosta,Heavyweight,https://www.ufc.com/athlete/waldo-cortes-acosta,2025-07-23T14:40:12.062767,False
8,Marcin Tybura,Heavyweight,https://www.ufc.com/athlete/marcin-tybura,2025-07-23T14:40:12.062796,False
9,Serghei Spivac,Heavyweight,https://www.ufc.com/athlete/serghei-spivac,2025-07-23T14:40:12.062839,False
10,Derrick Lewis,Heavyweight,https://www.ufc.com/athlete/derrick-lewis,2025-07-23T14:40:12.062953,False
11,Tai Tuivasa,Heavyweight,https://www.ufc.com/athlete/tai-tuivasa,2025-07-23T14:40:12.063054,False
12,Shamil Gaziev,Heavyweight,https://www.ufc.com/athlete/shamil-gaziev,2025-07-23T14:40:12.063229,False
13,Mick Parkin,Heavyweight,https://www.ufc.com/athlete/mick-parkin,2025-07-23T14:40:12.063257,False
14,Martin Buday,Heavyweight,https://www.ufc.com/athlete/martin-buday,2025-07-23T14:40:12.063290,False
15,Tallison Teixeira,Heavyweight,https://www.ufc.com/athlete/tallison-teixeira,2025-07-23T14:40:12.063320,False
16,Rizvan Kuniev,Heavyweight,https://www.ufc.com/athlete/rizvan-kuniev,2025-07-23T14:40:12.063342,False
1,Valentina Shevchenko,Women's Pound-for-Pound,https://www.ufc.com/athlete/valentina-shevchenko,2025-07-23T14:40:12.064113,True
2,Zhang Weili,Women's Pound-for-Pound,https://www.ufc.com/athlete/weili-zhang,2025-07-23T14:40:12.064154,False
3,Kayla Harrison,Women's Pound-for-Pound,https://www.ufc.com/athlete/kayla-harrison,2025-07-23T14:40:12.064178,False
4,Manon Fiorot,Women's Pound-for-Pound,https://www.ufc.com/athlete/manon-fiorot,2025-07-23T14:40:12.064199,False
5,Julianna Peña,Women's Pound-for-Pound,https://www.ufc.com/athlete/julianna-pena,2025-07-23T14:40:12.064219,False
6,Natalia Silva,Women's Pound-for-Pound,https://www.ufc.com/athlete/natalia-silva,2025-07-23T14:40:12.064251,False
7,Alexa Grasso,Women's Pound-for-Pound,https://www.ufc.com/athlete/alexa-grasso,2025-07-23T14:40:12.064282,False
8,Erin Blanchfield,Women's Pound-for-Pound,https://www.ufc.com/athlete/erin-blanchfield,2025-07-23T14:40:12.064306,False
9,Virna Jandiroba,Women's Pound-for-Pound,https://www.ufc.com/athlete/virna-jandiroba,2025-07-23T14:40:12.064327,False
10,Raquel Pennington,Women's Pound-for-Pound,https://www.ufc.com/athlete/raquel-pennington,2025-07-23T14:40:12.064352,False
11,Tatiana Suarez,Women's Pound-for-Pound,https://www.ufc.com/athlete/tatiana-suarez,2025-07-23T14:40:12.064374,False
12,Rose Namajunas,Women's Pound-for-Pound,https://www.ufc.com/athlete/rose-namajunas,2025-07-23T14:40:12.064393,False
13,Yan Xiaonan,Women's Pound-for-Pound,https://www.ufc.com/athlete/xiaonan-yan,2025-07-23T14:40:12.064412,False
14,Amanda Lemos,Women's Pound-for-Pound,https://www.ufc.com/athlete/amanda-lemos,2025-07-23T14:40:12.064518,False
15,Maycee Barber,Women's Pound-for-Pound,https://www.ufc.com/athlete/maycee-barber,2025-07-23T14:40:12.064542,False
1,Zhang Weili,Women's Strawweight,https://www.ufc.com/athlete/zhang-weili,2025-07-23T14:40:12.065432,True
2,Virna Jandiroba,Women's Strawweight,https://www.ufc.com/athlete/virna-jandiroba,2025-07-23T14:40:12.065463,False
3,Tatiana Suarez,Women's Strawweight,https://www.ufc.com/athlete/tatiana-suarez,2025-07-23T14:40:12.065490,False
4,Yan Xiaonan,Women's Strawweight,https://www.ufc.com/athlete/xiaonan-yan,2025-07-23T14:40:12.065510,False
5,Amanda Lemos,Women's Strawweight,https://www.ufc.com/athlete/amanda-lemos,2025-07-23T14:40:12.065534,False
6,Jéssica Andrade,Women's Strawweight,https://www.ufc.com/athlete/jessica-andrade,2025-07-23T14:40:12.065554,False
7,Mackenzie Dern,Women's Strawweight,https://www.ufc.com/athlete/mackenzie-dern,2025-07-23T14:40:12.065573,False
8,Amanda Ribas,Women's Strawweight,https://www.ufc.com/athlete/amanda-ribas,2025-07-23T14:40:12.065591,False
9,Iasmin Lucindo,Women's Strawweight,https://www.ufc.com/athlete/iasmin-lucindo,2025-07-23T14:40:12.065609,False
10,Gillian Robertson,Women's Strawweight,https://www.ufc.com/athlete/gillian-robertson,2025-07-23T14:40:12.065627,False
11,Tabatha Ricci,Women's Strawweight,https://www.ufc.com/athlete/tabatha-ricci,2025-07-23T14:40:12.065645,False
12,Loopy Godinez,Women's Strawweight,https://www.ufc.com/athlete/loopy-godinez,2025-07-23T14:40:12.065662,False
13,Angela Hill,Women's Strawweight,https://www.ufc.com/athlete/angela-hill,2025-07-23T14:40:12.065680,False
14,Tecia Pennington,Women's Strawweight,https://www.ufc.com/athlete/tecia-pennington,2025-07-23T14:40:12.065698,False
15,Loma Lookboonmee,Women's Strawweight,https://www.ufc.com/athlete/loma-lookboonmee,2025-07-23T14:40:12.065718,False
16,Denise Gomes,Women's Strawweight,https://www.ufc.com/athlete/denise-gomes,2025-07-23T14:40:12.065736,False
