rank,name,division,url,record,scraped_at
13,Reinier de Ridder,Middleweight,https://www.ufc.com/athlete/reinier-de-ridder,,2025-07-23T12:43:27.514322
14,Abus Magomedov,Middleweight,https://www.ufc.com/athlete/abus-magomedov,,2025-07-23T12:43:27.514346
15,Roman Kopylov,Middleweight,https://www.ufc.com/athlete/roman-kopylov,,2025-07-23T12:43:27.514369
1,Alex Pereira,Light Heavyweight,https://www.ufc.com/athlete/alex-pereira,,2025-07-23T12:43:27.514506
2,Jiří Procházka,Light Heavyweight,https://www.ufc.com/athlete/jiri-prochazka,,2025-07-23T12:43:27.514533
3,Carlos Ulberg,Light Heavyweight,https://www.ufc.com/athlete/carlos-ulberg,,2025-07-23T12:43:27.514557
4,Khalil Rountree Jr.,Light Heavyweight,https://www.ufc.com/athlete/khalil-rountree-jr,,2025-07-23T12:43:27.514581
5,Jan Błachowicz,Light Heavyweight,https://www.ufc.com/athlete/jan-blachowicz,,2025-07-23T12:43:27.514606
6,Jamahal Hill,Light Heavyweight,https://www.ufc.com/athlete/jamahal-hill,,2025-07-23T12:43:27.514632
7,Aleksandar Rakić,Light Heavyweight,https://www.ufc.com/athlete/aleksandar-rakic,,2025-07-23T12:43:27.514655
8,Dominick Reyes,Light Heavyweight,https://www.ufc.com/athlete/dominick-reyes,,2025-07-23T12:43:27.514678
9,Volkan Oezdemir,Light Heavyweight,https://www.ufc.com/athlete/volkan-oezdemir,,2025-07-23T12:43:27.514701
10,Nikita Krylov,Light Heavyweight,https://www.ufc.com/athlete/nikita-krylov,,2025-07-23T12:43:27.514724
11,Azamat Murzakanov,Light Heavyweight,https://www.ufc.com/athlete/azamat-murzakanov,,2025-07-23T12:43:27.514747
12,Johnny Walker,Light Heavyweight,https://www.ufc.com/athlete/johnny-walker,,2025-07-23T12:43:27.514769
13,Bogdan Guskov,Light Heavyweight,https://www.ufc.com/athlete/bogdan-guskov,,2025-07-23T12:43:27.514792
14,Zhang Mingyang,Light Heavyweight,https://www.ufc.com/athlete/zhang-mingyang,,2025-07-23T12:43:27.514815
15,Alonzo Menifield,Light Heavyweight,https://www.ufc.com/athlete/alonzo-menifield,,2025-07-23T12:43:27.514838
