name,division,record,url,height,weight,reach,stance,dob,hometown,team,scraped_at
Robert Whittaker,Middleweight Division27-8-0 (W-L-D),27-8-0,https://www.ufc.com/athlete/robert-whittaker,,,,,,,,2025-07-23T14:41:51.109713
Caio Borralho,Middleweight Division17-1-0 (W-L-D),17-1-0,https://www.ufc.com/athlete/caio-borralho,,,,,,,,2025-07-23T14:41:52.222413
Jared Cannonier,Middleweight Division18-8-0 (W-L-D),18-8-0,https://www.ufc.com/athlete/jared-cannonier,,,,,,,,2025-07-23T14:41:53.322874
Roman Dolidze,Middleweight Division15-3-0 (W-L-D),15-3-0,https://www.ufc.com/athlete/roman-dolidze,,,,,,,,2025-07-23T14:41:54.448745
Anthony Hernandez,Middleweight Division14-2-0 (W-L-D),14-2-0,https://www.ufc.com/athlete/anthony-hernandez,,,,,,,,2025-07-23T14:41:55.565895
Brendan Allen,Middleweight Division25-7-0 (W-L-D),25-7-0,https://www.ufc.com/athlete/brendan-allen,,,,,,,,2025-07-23T14:41:56.670911
Paulo Costa,Middleweight Division15-4-0 (W-L-D),15-4-0,https://www.ufc.com/athlete/paulo-costa,,,,,,,,2025-07-23T14:41:57.817003
Marvin Vettori,Middleweight Division19-9-1 (W-L-D),19-9-1,https://www.ufc.com/athlete/marvin-vettori,,,,,,,,2025-07-23T14:41:58.922336
Reinier de Ridder,Middleweight Division20-2-0 (W-L-D),20-2-0,https://www.ufc.com/athlete/reinier-de-ridder,,,,,,,,2025-07-23T14:42:00.020627
Abus Magomedov,Middleweight Division28-6-1 (W-L-D),28-6-1,https://www.ufc.com/athlete/abus-magomedov,,,,,,,,2025-07-23T14:42:01.152636
Roman Kopylov,Middleweight Division14-4-0 (W-L-D),14-4-0,https://www.ufc.com/athlete/roman-kopylov,,,,,,,,2025-07-23T14:42:02.270594
Jiří Procházka,Light Heavyweight Division31-5-1 (W-L-D),31-5-1,https://www.ufc.com/athlete/jiri-prochazka,,,,,,,,2025-07-23T14:42:03.393594
Carlos Ulberg,Light Heavyweight Division13-1-0 (W-L-D),13-1-0,https://www.ufc.com/athlete/carlos-ulberg,,,,,,,,2025-07-23T14:42:04.483193
Khalil Rountree Jr.,Light Heavyweight Division15-6-0 (W-L-D),15-6-0,https://www.ufc.com/athlete/khalil-rountree-jr,,,,,,,,2025-07-23T14:42:05.789471
Jan Błachowicz,Light Heavyweight Division29-11-1 (W-L-D),29-11-1,https://www.ufc.com/athlete/jan-blachowicz,,,,,,,,2025-07-23T14:42:06.921828
Jamahal Hill,Light Heavyweight Division12-4-0 (W-L-D),12-4-0,https://www.ufc.com/athlete/jamahal-hill,,,,,,,,2025-07-23T14:42:08.040740
Aleksandar Rakić,Light Heavyweight Division14-5-0 (W-L-D),14-5-0,https://www.ufc.com/athlete/aleksandar-rakic,,,,,,,,2025-07-23T14:42:09.138097
Dominick Reyes,Light Heavyweight Division15-4-0 (W-L-D),15-4-0,https://www.ufc.com/athlete/dominick-reyes,,,,,,,,2025-07-23T14:42:10.247767
Volkan Oezdemir,Light Heavyweight Division20-8-0 (W-L-D),20-8-0,https://www.ufc.com/athlete/volkan-oezdemir,,,,,,,,2025-07-23T14:42:11.355593
Nikita Krylov,Light Heavyweight Division30-10-0 (W-L-D),30-10-0,https://www.ufc.com/athlete/nikita-krylov,,,,,,,,2025-07-23T14:42:12.546483
Azamat Murzakanov,Light Heavyweight Division15-0-0 (W-L-D),15-0-0,https://www.ufc.com/athlete/azamat-murzakanov,,,,,,,,2025-07-23T14:42:13.645048
Johnny Walker,Light Heavyweight Division21-9-0 (W-L-D),21-9-0,https://www.ufc.com/athlete/johnny-walker,,,,,,,,2025-07-23T14:42:14.738500
Bogdan Guskov,Light Heavyweight Division17-3-0 (W-L-D),17-3-0,https://www.ufc.com/athlete/bogdan-guskov,,,,,,,,2025-07-23T14:42:15.829866
Zhang Mingyang,Light Heavyweight Division19-6-0 (W-L-D),19-6-0,https://www.ufc.com/athlete/zhang-mingyang,,,,,,,,2025-07-23T14:42:16.925955
Alonzo Menifield,Light Heavyweight Division17-5-1 (W-L-D),17-5-1,https://www.ufc.com/athlete/alonzo-menifield,,,,,,,,2025-07-23T14:42:18.019228
Ciryl Gane,Heavyweight Division13-2-0 (W-L-D),13-2-0,https://www.ufc.com/athlete/ciryl-gane,,,,,,,,2025-07-23T14:42:19.106169
Alexander Volkov,Heavyweight Division38-11-0 (W-L-D),38-11-0,https://www.ufc.com/athlete/alexander-volkov,,,,,,,,2025-07-23T14:42:20.228508
