name,date,venue,location,status,event_type,url,scraped_at
608,UFC 275: Teixeira vs. Procházka,"Jun 12, 2022",Singapore Indoor Stadium,completed,other,,2025-07-29T14:58:05.899770
607,UFC Fight Night: Volkov vs. Rozenstruik,"Jun 4, 2022",UFC Apex,completed,other,,2025-07-29T14:58:05.899823
606,UFC Fight Night: Holm vs. Vieira,"May 21, 2022",[156],completed,other,,2025-07-29T14:58:05.899862
605,UFC on ESPN: Błachowicz vs. Rakić,"May 14, 2022",[157],completed,other,,2025-07-29T14:58:05.899904
604,UFC 274: Oliveira vs. Gaethje,"May 7, 2022",Footprint Center,completed,other,,2025-07-29T14:58:05.899955
603,UFC on ESPN: Font vs. Vera,"Apr 30, 2022",UFC Apex,completed,other,,2025-07-29T14:58:05.900003
602,UFC Fight Night: Lemos vs. Andrade,"Apr 23, 2022",[160],completed,other,,2025-07-29T14:58:05.900042
601,UFC on ESPN: Luque vs. Muhammad 2,"Apr 16, 2022",[161],completed,other,,2025-07-29T14:58:05.900082
600,UFC 273: Volkanovski vs. The Korean Zombie,"Apr 9, 2022",VyStar Veterans Memorial Arena,completed,other,,2025-07-29T14:58:05.900137
599,UFC on ESPN: Blaydes vs. Daukaus,"Mar 26, 2022",Nationwide Arena,completed,other,,2025-07-29T14:58:05.900191
598,UFC Fight Night: Volkov vs. Aspinall,"Mar 19, 2022",The O2 Arena,completed,other,,2025-07-29T14:58:05.900245
597,UFC Fight Night: Santos vs. Ankalaev,"Mar 12, 2022",UFC Apex,completed,other,,2025-07-29T14:58:05.900295
596,UFC 272: Covington vs. Masvidal,"Mar 5, 2022",T-Mobile Arena,completed,other,,2025-07-29T14:58:05.900343
595,UFC Fight Night: Makhachev vs. Green,"Feb 26, 2022",UFC Apex,completed,other,,2025-07-29T14:58:05.900390
594,UFC Fight Night: Walker vs. Hill,"Feb 19, 2022",[168],completed,other,,2025-07-29T14:58:05.900438
593,UFC 271: Adesanya vs. Whittaker 2,"Feb 12, 2022",Toyota Center,completed,other,,2025-07-29T14:58:05.900502
592,UFC Fight Night: Hermansson vs. Strickland,"Feb 5, 2022",UFC Apex,completed,other,,2025-07-29T14:58:05.900557
591,UFC 270: Ngannou vs. Gane,"Jan 22, 2022",Honda Center,completed,other,,2025-07-29T14:58:05.900609
590,UFC on ESPN: Kattar vs. Chikadze,"Jan 15, 2022",UFC Apex,completed,other,,2025-07-29T14:58:05.900668
589,UFC Fight Night: Lewis vs. Daukaus,"Dec 18, 2021",[173],completed,other,,2025-07-29T14:58:05.900711
588,UFC 269: Oliveira vs. Poirier,"Dec 11, 2021",T-Mobile Arena,completed,other,,2025-07-29T14:58:05.900758
587,UFC on ESPN: Font vs. Aldo,"Dec 4, 2021",UFC Apex,completed,other,,2025-07-29T14:58:05.900801
586,UFC Fight Night: Vieira vs. Tate,"Nov 20, 2021",[176],completed,other,,2025-07-29T14:58:05.900841
585,UFC Fight Night: Holloway vs. Rodríguez,"Nov 13, 2021",[177],completed,other,,2025-07-29T14:58:05.900882
584,UFC 268: Usman vs. Covington 2,"Nov 6, 2021",Madison Square Garden,completed,other,,2025-07-29T14:58:05.900934
583,UFC 267: Błachowicz vs. Teixeira,"Oct 30, 2021",Etihad Arena,completed,other,,2025-07-29T14:58:05.900986
